dataset,correct,uncertainty,label
nq,1,0.2,Correct
nq,0,0.36,Incorrect
nq,1,0.1,Correct
nq,1,0.19,Correct
nq,1,0.11,Correct
nq,0,0.29,Incorrect
nq,0,0.23,Incorrect
nq,1,0.23,Correct
nq,0,0.35,Incorrect
nq,0,0.33,Incorrect
nq,1,0.21,Correct
nq,0,0.29,Incorrect
nq,0,0.27,Incorrect
nq,1,0.19,Correct
nq,1,0.03,Correct
nq,1,0.11,Correct
nq,0,0.28,Incorrect
nq,1,0.2,Correct
nq,1,0.28,Correct
nq,1,0.22,Correct
nq,0,0.35,Incorrect
nq,1,0.23,Correct
nq,1,0.11,Correct
nq,1,0.22,Correct
nq,1,0.19,Correct
nq,0,0.43,Incorrect
nq,0,0.31,Incorrect
nq,1,0.27,Correct
nq,1,0.23,Correct
nq,0,0.26,Incorrect
nq,1,0.22,Correct
nq,0,0.36,Incorrect
nq,1,0.21,Correct
nq,1,0.13,Correct
nq,1,0.2,Correct
nq,1,0.22,Correct
nq,1,0.2,Correct
nq,0,0.33,Incorrect
nq,0,0.36,Incorrect
nq,1,0.21,Correct
nq,1,0.22,Correct
nq,0,0.42,Incorrect
nq,1,0.21,Correct
nq,0,0.31,Incorrect
nq,1,0.04,Correct
nq,0,0.41,Incorrect
nq,1,0.24,Correct
nq,0,0.29,Incorrect
nq,0,0.32,Incorrect
nq,1,0.13,Correct
popqa,0,0.37,Incorrect
popqa,0,0.27,Incorrect
popqa,0,0.37,Incorrect
popqa,0,0.27,Incorrect
popqa,0,0.37,Incorrect
popqa,0,0.37,Incorrect
popqa,0,0.37,Incorrect
popqa,0,0.37,Incorrect
popqa,0,0.37,Incorrect
popqa,0,0.27,Incorrect
popqa,0,0.37,Incorrect
popqa,0,0.37,Incorrect
popqa,1,0.27,Correct
popqa,0,0.27,Incorrect
popqa,0,0.37,Incorrect
popqa,0,0.37,Incorrect
popqa,0,0.27,Incorrect
popqa,0,0.27,Incorrect
popqa,0,0.37,Incorrect
popqa,0,0.27,Incorrect
popqa,0,0.37,Incorrect
popqa,0,0.37,Incorrect
popqa,0,0.37,Incorrect
popqa,1,0.37,Correct
popqa,0,0.37,Incorrect
popqa,0,0.37,Incorrect
popqa,0,0.38,Incorrect
popqa,0,0.38,Incorrect
popqa,0,0.27,Incorrect
popqa,0,0.37,Incorrect
popqa,0,0.37,Incorrect
popqa,0,0.27,Incorrect
popqa,0,0.27,Incorrect
popqa,0,0.27,Incorrect
popqa,0,0.37,Incorrect
popqa,0,0.37,Incorrect
popqa,0,0.27,Incorrect
popqa,0,0.37,Incorrect
popqa,0,0.37,Incorrect
popqa,0,0.37,Incorrect
popqa,0,0.37,Incorrect
popqa,0,0.37,Incorrect
popqa,0,0.37,Incorrect
popqa,0,0.27,Incorrect
popqa,0,0.37,Incorrect
popqa,0,0.37,Incorrect
popqa,0,0.27,Incorrect
popqa,0,0.37,Incorrect
popqa,0,0.37,Incorrect
popqa,0,0.27,Incorrect
squad,0,0.36,Incorrect
squad,0,0.34,Incorrect
squad,1,0.38,Correct
squad,1,0.37,Correct
