dataset,uncertainty,label
nq,0.203978,0
nq,0.361353,1
nq,0.103555,0
nq,0.187895,0
nq,0.113823,0
nq,0.294014,1
nq,0.231931,1
nq,0.231159,0
nq,0.352581,1
nq,0.326096,1
nq,0.206677,0
nq,0.290177,1
nq,0.274737,1
nq,0.189411,0
nq,0.033505,0
nq,0.114711,0
nq,0.278933,1
nq,0.202164,0
nq,0.279991,0
nq,0.219812,0
nq,0.354948,1
nq,0.227066,0
nq,0.108665,0
nq,0.21597,0
nq,0.192683,0
nq,0.430118,1
nq,0.307199,1
nq,0.266987,0
nq,0.23228,0
nq,0.264326,1
nq,0.223891,0
nq,0.364604,1
nq,0.214127,0
nq,0.130801,0
nq,0.198291,0
nq,0.215313,0
nq,0.201823,0
nq,0.334667,1
nq,0.361872,1
nq,0.213666,0
nq,0.222281,0
nq,0.424281,1
nq,0.207441,0
nq,0.30814,1
nq,0.043355,0
nq,0.413459,1
nq,0.23899,0
nq,0.286232,1
nq,0.320035,1
nq,0.131587,0
popqa,0.370957,1
popqa,0.271997,1
popqa,0.371887,1
popqa,0.267805,1
popqa,0.368557,1
popqa,0.372017,1
popqa,0.368028,1
popqa,0.365364,1
popqa,0.370301,1
popqa,0.270336,1
popqa,0.370305,1
popqa,0.371199,1
popqa,0.269839,0
popqa,0.268989,1
popqa,0.369463,1
popqa,0.368524,1
popqa,0.271741,1
popqa,0.266314,1
popqa,0.369544,1
popqa,0.265951,1
popqa,0.37029,1
popqa,0.368764,1
popqa,0.3695,1
popqa,0.370964,0
popqa,0.36716,1
popqa,0.36665,1
popqa,0.378037,1
popqa,0.381923,1
popqa,0.271094,1
popqa,0.365287,1
popqa,0.370324,1
popqa,0.270815,1
popqa,0.269283,1
popqa,0.267218,1
popqa,0.371232,1
popqa,0.371024,1
popqa,0.267847,1
popqa,0.371005,1
popqa,0.368449,1
popqa,0.368913,1
popqa,0.368348,1
popqa,0.368761,1
popqa,0.371849,1
popqa,0.268738,1
popqa,0.373823,1
popqa,0.367284,1
popqa,0.269988,1
popqa,0.372318,1
popqa,0.368515,1
popqa,0.272069,1
squad,0.360563,1
squad,0.33723,1
squad,0.380522,0
squad,0.365582,0
squad,0.387273,1
squad,0.397408,1
squad,0.365742,0
squad,0.383369,0
squad,0.383607,0
squad,0.331077,0
squad,0.3842,1
squad,0.318725,0
squad,0.397987,1
squad,0.413401,1
squad,0.382607,0
squad,0.365461,0
squad,0.376174,0
squad,0.385496,1
squad,0.398068,1
squad,0.318956,1
squad,0.354425,0
squad,0.360563,1
squad,0.371294,1
squad,0.38211,1
squad,0.364196,0
squad,0.394221,1
squad,0.353082,0
squad,0.33723,1
squad,0.382514,0
squad,0.361809,0
squad,0.349606,1
squad,0.359817,1
squad,0.402506,0
squad,0.403779,1
squad,0.387917,1
squad,0.347999,0
squad,0.425543,1
squad,0.411497,1
squad,0.343465,0
squad,0.365708,0
squad,0.344847,0
squad,0.31068,0
squad,0.32882,0
squad,0.329149,1
squad,0.347239,1
squad,0.34381,0
squad,0.411122,0
squad,0.385496,1
squad,0.31068,0
squad,0.376675,1
triviaqa,0.385684,1
triviaqa,0.374448,1
triviaqa,0.445618,1
triviaqa,0.442972,1
triviaqa,0.324369,1
triviaqa,0.457281,1
triviaqa,0.224827,1
triviaqa,0.370881,1
triviaqa,0.425206,0
triviaqa,0.388238,1
triviaqa,0.442915,1
triviaqa,0.465162,0
triviaqa,0.395811,1
triviaqa,0.426153,1
triviaqa,0.43088,1
triviaqa,0.383125,1
triviaqa,0.491756,1
triviaqa,0.423617,1
triviaqa,0.316929,1
triviaqa,0.510117,1
triviaqa,0.294602,1
triviaqa,0.209306,1
triviaqa,0.28952,1
triviaqa,0.363744,1
triviaqa,0.487337,1
triviaqa,0.460391,1
triviaqa,0.447955,1
triviaqa,0.453815,1
triviaqa,0.338214,0
triviaqa,0.496399,1
triviaqa,0.457355,1
triviaqa,0.291663,1
triviaqa,0.360791,1
triviaqa,0.393249,1
triviaqa,0.270555,1
triviaqa,0.505272,1
triviaqa,0.445221,1
triviaqa,0.441958,1
triviaqa,0.492199,1
triviaqa,0.454376,1
triviaqa,0.312876,1
triviaqa,0.455009,1
triviaqa,0.428942,1
triviaqa,0.435559,1
triviaqa,0.37356,1
triviaqa,0.449637,1
triviaqa,0.372083,1
triviaqa,0.366681,1
triviaqa,0.371266,1
triviaqa,0.411801,1
webq,0.324567,0
webq,0.315335,1
webq,0.325651,0
webq,0.32231,0
webq,0.321019,0
webq,0.326246,0
webq,0.324538,0
webq,0.318769,0
webq,0.328175,0
webq,0.235551,1
webq,0.222454,1
webq,0.322104,0
webq,0.232234,1
webq,0.331271,0
webq,0.316559,0
webq,0.236306,1
webq,0.328797,0
webq,0.231647,1
webq,0.234,1
webq,0.334727,0
webq,0.312914,0
webq,0.319506,0
webq,0.227189,1
webq,0.315677,0
webq,0.218919,0
webq,0.323504,0
webq,0.326248,0
webq,0.320299,0
webq,0.332789,0
webq,0.336341,1
webq,0.329751,0
webq,0.229643,0
webq,0.226315,0
webq,0.32701,0
webq,0.33151,0
webq,0.329376,0
webq,0.331879,0
webq,0.325027,0
webq,0.234711,1
webq,0.325386,0
webq,0.319569,0
webq,0.323598,0
webq,0.318126,0
webq,0.320933,0
webq,0.326226,0
webq,0.327867,0
webq,0.3227,0
webq,0.321452,0
webq,0.232117,1
webq,0.321962,0
